Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per items
bestar-lyra-end-table-natural-oak,Bestar Lyra End Table - Available in 2 Colours,"<h4>Description</h4>
<p>items Included</p>
<ul>
<li>Nightstand</li>
</ul>
<meta charset=""utf-8"">
<p><span></span></p>
<h4>Dimensions</h4>
<h4>Specifications</h4>
<ul>
<li>MODERN DESIGN: With its minimalist design, clean architectural lines, as well as use of neutral colors and metal, this end table will give a modern look to any room. </li>
<li>GOOD STORAGE: One 5. 91"" high storage compartments to maximize your storage options. </li>
<li>VERSATILE: This multipurpose small table can be used as an end table, side table, nightstand, sofa table, etc. </li>
<li>STURDY: Strong square metal legs support the table. The top surface can support up to 75 lb. </li>
<li>NOTE: Assembly required. 23. 6"" W x 23. 6"" D x 15. 1- Year limited warranty. Our end table is solid, well-made, and built to last. Its clean, minimalist look and wood legs will automatically make your home feel more modern. Possibilities are endless with this compact product as it can either complement  your bedroom or your living room. Indeed, it can be used as a bedside table, a side table or an end table. The end table’s open area was made to maximize your storage options and reduce clutter, making the room instantly feel more spacious. It is ideal for people who wish to create a modern, organized space for themselves and their guests. Committed to the highest standards in customer service, Bestar has manufactured high-quality furniture in North America since 1948. </li>
</ul>",Pending - Bestar,Nightstand,"Bestar, Brand_Modubox, Made In_Canada, Colour_Natural Oak, Colour_Black Oak",FALSE,Colour,Natural Oak,,,,,104162-000010,18597.272,shopify,1,deny,manual,0.0,0.0,TRUE,TRUE,'063753058308,https://bob.bestar.ca/media/2019/03/v117I55b5Z6kss0I9D2M3D1W2cv5I6qd.jpeg,1,,FALSE,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/dJ1WJkxKh6x4HV6SXQExSh2IOfx8U5A5.jpeg,lb,,
bestar-lyra-end-table-natural-oak,,,,,,,,Black Oak,,,,,104162-000022,18597.272,shopify,1,deny,manual,0.0,0.0,TRUE,TRUE,'063753058285,https://bob.bestar.ca/media/2019/03/AlSleBWHlIzd4xG2uQJ6h03V6KW6PYXt.jpeg,2,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/jeF47L1rOkM9FCZ3p5B3Z60Zx27JpSG8.jpeg,lb,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/05/5p8PxHDwJwPAA8Z20J0Cvn3912ECk7JG.jpeg,3,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/lfK52q2v6nRKa2yqif7P54Gn1fBgO41m.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/05/s5Fih32n516hEU42WMdZVpl3n57d2WY9.jpeg,4,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/LgmP8Nm3dvD6CK2KO4GpoDh4hdy7ay2b.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/03/7O2a6ssY1PrVTX9k5355vEB8ILdgVLzI.jpeg,5,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/LD1aoTE0wefMqsC6E6f776gQ4F3nFs29.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/03/3bwB614Zrv2ynf8z44PWWBV70EDlaSsx.jpeg,6,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/X6xzhWz6zIcytxZ7hNxwToQU3glAodmt.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/03/oSbA9f938P26626du007U025mF26GSul.jpeg,7,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/7aKpiLobj924p6Qj8kYTx439X3oeU3rK.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/03/Rb2PQ8D4wxelT61BQdMigVAYifndEzJG.jpeg,8,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/b4wa45he1T7eeOz7SSH4JxE5U6zy9msm.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/10/TNkOuzM330v76rZm91F1ZK4nJ4ynPB2o.jpeg,9,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/10/I8Dm3Du3m3Rty7h2iVC4PmFHl54LiSdK.jpeg,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,deny,manual,,,,,,https://bob.bestar.ca/media/2019/10/9RZiFk12S3sH3FWkEFLs8d4293HJgnR5.jpeg,10,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,Bestar Lyra TV Stand - Black Oak,"<h4>Description</h4>
<p>items Included</p>
<ul>
<li>TV Stand</li>
</ul>
<meta charset=""utf-8"">
<p><span></span></p>
<h4>Dimensions</h4>
<h4>Specifications</h4>
<ul>
<li>MODERN DESIGN: With its minimalist design, clean architectural lines, as well as use of neutral colors and metal, this TV stand will give a modern look to any room. </li>
<li>HIDDEN STORAGE: Offers one hidden drawer with 2 compartments for additional storage. Keep remotes and other electronics close at hand, but out of sight. </li>
<li>STURDY: Can support a television weighing up to 100 lb. </li>
<li>SPACE SAVER: Compact and designed for small spaces, this TV stand can help reduce clutter and make your room feel more airier and more open. </li>
<li>NOTE: Assembly required. 63"" W x 15. 7"" D x 15. commercial grade melamine compliant with Carb phase 2 and black metal legs. 1- Year limited warranty. This TV Stand is solid and built to last. Its clean lines and compact design make it the perfect addition to a modern living room or media room. Thanks to its sleek design, this minimalist and functional TV Stand can be integrated seamlessly into your decor to create a smart entertainment space. Its compartments and hidden drawer let you organize all your media and A/V devices in order to keep your space tidy. Committed to the highest standards in customer service, Bestar has manufactured high-quality furniture in North America since 1948. </li>
</ul>",Pending - Bestar,TV Stand,"Bestar, Brand_Modubox, Made In_Canada, Colour_Black Oak",FALSE,Colour,Black Oak,,,,,104200-000022,32658.624,shopify,1,deny,manual,0.0,0.0,TRUE,TRUE,'063753058377,https://bob.bestar.ca/media/2019/03/VA6zg2dLX9im87F2AcIRwXMrh43252tf.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,lb,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/TfnM3JIysom6gnr646fODgJb2iO9s1h6.jpeg,2,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/1hgX8055M3Q69469M6Q383gC3C6jVC77.jpeg,3,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/97c3UP1E7b32c7fAQp25Lj7hKvG3BjA3.jpeg,4,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/l7aE9zVBfDuwNqC0U66smfA0Hq772dFB.jpeg,5,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-tv-stand-black-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/5klk4enp11RvbVvBaCAQnDd3dcJZQ4ig.jpeg,6,,,,,,,,,,,,,,,,,,,,,
